t,dt,force_n,tilt_rad,x,y,speed_m_s,effort_nm
0.004,0.004,0.0,0.0,-4.2767836703759016e-20,7.512001852942428e-20,4.321762617903042e-17,0.0
0.008,0.004,0.0,0.0,-8.422214197208686e-20,1.683638814411784e-19,6.493358919695238e-17,1.0021494745160453e-15
0.012,0.004,0.0,0.0,-1.3015167072495155e-19,2.981682992375545e-19,1.0663985617395476e-16,1.2067034462337217e-15
0.016,0.004,0.0,0.0,-1.8842560257283084e-19,4.881655042978289e-19,1.8547421283626825e-16,2.4244866966895364e-15
0.020000000000000004,0.0040000000000000036,0.0,0.0,-2.2948311447855e-19,7.913081913635469e-19,3.3429531574789234e-16,4.6026271924756184e-15
0.024000000000000007,0.0040000000000000036,0.0,1.2020167404189313e-06,5.621764921300144e-07,-2.263057284341796e-08,0.0002811242629184241,8.711390821754545e-15
0.02800000000000001,0.0040000000000000036,0.0,1.276465162446708e-06,-7.246994441850564e-07,-1.0788174775120605e-07,0.0005386144545765681,0.20500198476634487
0.032000000000000015,0.0040000000000000036,0.0,1.4523090931971896e-06,-4.414509454339562e-06,-1.9269393990745616e-07,0.0010392904704387873,0.33209089118082424
0.03600000000000002,0.0040000000000000036,0.0,4.0341712003083505e-06,-9.538768525615426e-06,-2.499088294406186e-07,0.0013481258719139745,0.40313161033827594
0.04000000000000002,0.0040000000000000036,0.0,6.378863213555757e-06,-1.535781288147688e-05,-2.715167599581185e-07,0.001477162969395632,0.4395908439186103
0.044000000000000025,0.0040000000000000036,0.0,7.487414624723541e-06,-2.1232787905720515e-05,-2.5803304132973585e-07,0.0014549552931152484,0.4559878965868083
0.04800000000000003,0.0040000000000000036,0.0,6.760382747898116e-06,-2.6660646096761357e-05,-2.140289015265554e-07,0.0013159786918441158,0.46144296512469574
0.05200000000000003,0.0040000000000000036,0.0,4.3350343820152716e-06,-3.127437358231561e-05,-1.4554059199903409e-07,0.0010934428872286723,0.4615420938563215
0.056000000000000036,0.0040000000000000036,0.0,5.327972646017224e-06,-3.482731653763088e-05,-5.865865889364391e-08,0.0008161510246155334,0.4595899744329801
0.06000000000000004,0.0040000000000000036,0.0,1.34161684397008e-05,-3.7171939318278846e-05,4.116337357429015e-08,0.0005075924151067433,0.45744299092734364
0.06400000000000004,0.0040000000000000036,0.0,2.5123225200529594e-05,-3.823310864194396e-05,1.496174632111371e-07,0.00018420904884824181,0.4560573065049892
0.06800000000000005,0.0040000000000000036,0.0,3.9888449109697045e-05,-3.793364853358234e-05,2.641951821747171e-07,0.00016623026000875166,0.4558324806781628
0.07200000000000005,0.0040000000000000036,0.0,5.756736119084654e-05,-3.6236434253584945e-05,3.8264175734254993e-07,0.0005133323133518786,0.4568110900139842
0.07600000000000005,0.0040000000000000036,0.0,7.793685382096182e-05,-3.32029325694277e-05,5.019869516807239e-07,0.0008410048410477275,0.45886866273335786
0.08000000000000006,0.0040000000000000036,0.0,0.0001006917728266634,-2.896393377102145e-05,6.19159519964144e-07,0.001132742189537804,0.4618605108576691
0.08400000000000006,0.0040000000000000036,0.0,0.0001254807895146779,-2.3690181219889127e-05,7.315195948927299e-07,0.0013800864064317379,0.4656430411898101
0.08800000000000006,0.0040000000000000036,0.0,0.0001519403425900744,-1.7568653223988503e-05,8.37132589393748e-07,0.0015802430855323551,0.47007942400995495
0.09200000000000007,0.0040000000000000036,0.0,0.0001797082254092923,-1.0793517862555216e-05,9.345475436434553e-07,0.001730821952963691,0.47504268306083175
0.09600000000000007,0.0040000000000000036,0.0,0.0002084048813417377,-3.5797365256261306e-06,1.0230709498747112e-06,0.0018266254654647057,0.4804237355107633
0.10000000000000007,0.0040000000000000036,0.0,0.0002376694781671311,3.860822097680906e-06,1.1030043267528216e-06,0.0018706179419026778,0.4861191998403591
0.10400000000000008,0.0040000000000000036,0.0,0.00026720612090413434,1.1351208615829988e-05,1.1745895274716374e-06,0.0018736003657583245,0.49202920799004685
0.10800000000000008,0.0040000000000000036,0.0,0.0002968227975520894,1.8777375717349132e-05,1.2381664520204746e-06,0.0018524579020374823,0.49807106493872916
0.11200000000000009,0.0040000000000000036,0.0,0.00032643891463830283,2.6094130169523294e-05,1.2947030880861382e-06,0.0018242552350224617,0.5041683325466534
